Team 1,Team 2,TossWinner,TossDescion,TimeSlot,City,Venue,Winner
Kings,Zalmi,Kings,Fielding,Night,Karachi,Naitonal stadium,Zalmi
Qalandars,Sultans,Sultans,Fielding,day,Karachi,Naitonal stadium,Sultans
Kings,Gladiators,Gladiators,Fielding,daynight,Karachi,Naitonal stadium,Kings
Qalandars,United,Qalandars,Fielding,Night,Karachi,Naitonal stadium,United
United,Gladiators,United,Fielding,Night,Abu Dhabi,SZS,Gladiators
Qalandars,Zalmi,Zalmi,Fielding,daynight,Abu Dhabi,SZS,Zalmi
Kings,Sultans,Kings,Fielding,Night,Abu Dhabi,SZS,Kings
Zalmi,Gladiators,Gladiators,Fielding,daynight,Abu Dhabi,SZS,Gladiators
Sultans,Gladiators,Gladiators,Fielding,Night,Dubai (DSC),DICS,Gladiators
United,Zalmi,Zalmi,Fielding,daynight,Dubai (DSC),DICS,Zalmi
Kings,Qalandars,Kings,Fielding,Night,Dubai (DSC),DICS,Kings
Sultans,Zalmi,Zalmi,Fielding,daynight,Dubai (DSC),DICS,Zalmi
United,Kings,United,Fielding,Night,Dubai (DSC),DICS,United
Qalandars,Gladiators,Qalandars,Fielding,daynight,Dubai (DSC),DICS,Qalandars
United,Sultans,Sultans,Fielding,Night,Dubai (DSC),DICS,Sultans
Kings,Gladiators,Kings,Fielding,Night,Sharjah,SCS,Kings
Sultans,Zalmi,Zalmi,Fielding,daynight,Sharjah,SCS,Zalmi
United,Kings,United,Fielding,Night,Sharjah,SCS,United
Qalandars,Gladiators,Gladiators,Fielding,daynight,Sharjah,SCS,Gladiators
United,Zalmi,Zalmi,Fielding,Night,Sharjah,SCS,United
Qalandars,Sultans,Qalandars,Fielding,daynight,Sharjah,SCS,Qalandars
Kings,Zalmi,Kings,Fielding,Night,Sharjah,SCS,Zalmi
Sultans,Gladiators,Gladiators,Fielding,Night,Sharjah,SCS,Gladiators
Qalandars,Zalmi,Zalmi,Fielding,Night,Dubai (DSC),DICS,Zalmi
United,Gladiators,Gladiators,Fielding,daynight,Dubai (DSC),DICS,Gladiators
Kings,Qalandars,Kings,Fielding,Night,Dubai (DSC),DICS,Qalandars
United,Sultans,Sultans,Fielding,daynight,Dubai (DSC),DICS,Sultans
Zalmi,Gladiators,Gladiators,Fielding,Night,Dubai (DSC),DICS,Gladiators
Kings,Sultans,Kings,Bating,daynight,Dubai (DSC),DICS,Kings
United,Qalandars,United,Fielding,Night,Dubai (DSC),DICS,United
United,Zalmi,Zalmi,Bating,Night,Karachi,Naitonal stadium,United
Kings,Zalmi,Kings,Fielding,Night,Lahore,Gaddafi stadium,Zalmi
Zalmi,Gladiators,Gladiators,Fielding,Night,Lahore,Gaddafi stadium,Zalmi
United,Kings,Kings,Bating,Night,Dubai (DSC),DICS,United
United,Kings,Kings,Fielding,Night,Sharjah,SCS,Kings
Zalmi,Qalandars,Qalandars,Bating,daynight,Sharjah,SCS,Zalmi
Gladiators,United,Gladiators,Bating,Night,Sharjah,SCS,United
Zalmi,Kings,Zalmi,Bating,daynight,Sharjah,SCS,Zalmi
Gladiators,Qalandars,Gladiators,Fielding,daynight,Sharjah,SCS,Qalandars
Sultans,United,Sultans,Fielding,Night,Sharjah,SCS,United
Zalmi,Gladiators,Gladiators,Fielding,Night,Dubai (DSC),DICS,Gladiators
Sultans,Kings,Sultans,Fielding,daynight,Dubai (DSC),DICS,Kings
Zalmi,United,Zalmi,Fielding,Night,Dubai (DSC),DICS,United
Sultans,Qalandars,Sultans,Bating,daynight,Dubai (DSC),DICS,Qalandars
Kings,Gladiators,Kings,Fielding,Night,Dubai (DSC),DICS,Gladiators
United,Qalandars,United,Fielding,daynight,Dubai (DSC),DICS,United
Sultans,Gladiators,Gladiators,Fielding,Night,Dubai (DSC),DICS,Gladiators
Zalmi,Sultans,Zalmi,Fielding,Night,Dubai (DSC),DICS,Sultans
United,Kings,United,Fielding,Night,Sharjah,SCS,United
Zalmi,Qalandars,Qalandars,Bating,Night,Sharjah,SCS,Zalmi
Sultans,Gladiators,Sultans,Fielding,daynight,Sharjah,SCS,Sultans
Gladiators,Zalmi,Zalmi,Fielding,Night,Sharjah,SCS,Zalmi
United,Gladiators,Gladiators,Fielding,Night,Sharjah,SCS,Gladiators
Kings,Qalandars,Kings,Bating,Night,Dubai (DSC),DICS,Kings
Kings,Zalmi,Zalmi,Bating,Night,Dubai (DSC),DICS,Kings
Sultans,United,United,Fielding,daynight,Dubai (DSC),DICS,United
Gladiators,Qalandars,Gladiators,Fielding,Night,Dubai (DSC),DICS,Gladiators
United,Zalmi,United,Fielding,daynight,Dubai (DSC),DICS,Zalmi
Sultans,Qalandars,Gladiators,Fielding,Night,Dubai (DSC),DICS,Sultans
Kings,Gladiators,Kings,Bating,daynight,Dubai (DSC),DICS,Kings
Zalmi,Sultans,Sultans,Fielding,Night,Dubai (DSC),DICS,Sultans
Zalmi,Gladiators,Gladiators,Fielding,day,Lahore,Gaddafi stadium,Zalmi
Kings,Zalmi,Kings,Fielding,day,Dubai (DSC),DICS,Zalmi
United,Kings,United,Fielding,day,Sharjah,SCS,Kings
Zalmi,Gladiators,Zalmi,Fielding,day,Sharjah,SCS,Gladiators
United,Kings,Kings,Fielding,day,Dubai (DSC),DICS,Kings
Zalmi,Gladiators,Zalmi,Fielding,day,Dubai (DSC),DICS,Zalmi
Kings,Qalandars,Kings,Fielding,day,Dubai (DSC),DICS,Kings
United,Gladiators,Gladiators,Fielding,day,Dubai (DSC),DICS,United
Qalandars,Zalmi,Zalmi,Bating,d,Dubai (DSC),DICS,Zalmi
Kings,Gladiators,Gladiators,Fielding,day,Dubai (DSC),DICS,Gladiators
United,Qalandars,Qalandars,Fielding,day,Sharjah,SCS,Qalandars
Kings,Zalmi,Zalmi,Fielding,day,Sharjah,SCS,Kings
United,Zalmi,United,Fielding,day,Sharjah,SCS,United
Qalandars,Gladiators,Gladiators,Fielding,day,Sharjah,SCS,Gladiators
United,Kings,Kings,Fielding,day,Sharjah,SCS,Kings
Kings,Qalandars,Kings,Fielding,day,Sharjah,SCS,Qalandars
United,Gladiators,United,Fielding,day,Sharjah,SCS,United
Qalandars,Zalmi,Zalmi,Fielding,day,Dubai (DSC),DICS,Zalmi
Kings,Gladiators,Gladiators,Fielding,day,Dubai (DSC),DICS,Gladiators
United,Qalandars,Qalandars,Fielding,day,Dubai (DSC),DICS,Qalandars
Kings,Zalmi,Zalmi,Fielding,day,Dubai (DSC),DICS,Zalmi
Qalandars,Gladiators,Qalandars,Fielding,day,Dubai (DSC),DICS,Gladiators
United,Zalmi,United,Fielding,day,Dubai (DSC),DICS,United
United,Gladiators,United,Fielding,night,Dubai (DSC),DICS,United
United,Zalmi,Zalmi,Fielding,Night,Dubai (DSC),DICS,United
United,Kings,United,Fielding,Night,Dubai (DSC),DICS,United
Zalmi,Gladiators,Zalmi,Fielding,Night,Dubai (DSC),DICS,Gladiators
United,Qalandars,United,Fielding,Night,Dubai (DSC),DICS,United
Kings,Zalmi,Kings,Bating,daynight,Dubai (DSC),DICS,Zalmi
Qalandars,Gladiators,Gladiators,Fielding,Night,Dubai (DSC),DICS,Gladiators
Gladiators,Zalmi,Gladiators,Bating,Night,Sharjah,SCS,Zalmi
United,Kings,United,Fielding,daynight,Sharjah,SCS,United
Qalandars,Zalmi,Zalmi,Fielding,Night,Sharjah,SCS,Qalandars
Kings,Gladiators,Kings,Bating,daynight,Sharjah,SCS,Gladiators
United,Zalmi,Zalmi,Fielding,Night,Sharjah,SCS,Zalmi
Kings,Qalandars,Qalandars,Fielding,daynight,Sharjah,SCS,Kings
United,Gladiators,Gladiators,Fielding,Night,Sharjah,SCS,Gladiators
Kings,Zalmi,Zalmi,Bating,daynight,Sharjah,SCS,Zalmi
United,Qalandars,United,Fielding,Night,Sharjah,SCS,United
Qalandars,Gladiators,Gladiators,Fielding,Night,Dubai (DSC),DICS,Qalandars
Gladiators,Zalmi,Gladiators,Fielding,Night,Dubai (DSC),DICS,Gladiators
United,Kings,Kings,Fielding,daynight,Dubai (DSC),DICS,United
Qalandars,Zalmi,Zalmi,Fielding,Night,Dubai (DSC),DICS,Zalmi
Gladiators,Kings,Gladiators,Fielding,daynight,Dubai (DSC),DICS,Gladiators
Zalmi,United,Zalmi,Bating,Night,Dubai (DSC),DICS,Zalmi
Kings,Qalandars,Kings,Fielding,daynight,Dubai (DSC),DICS,Kings
United,Gladiators,Gladiators,Fielding,Night,Dubai (DSC),DICS,Gladiators
